OID,Cell_Third,MEAN
-1,L2,0.727085715396656
-1,A2,0.536885542682854
-1,B2,0.622599129933482
-1,C2,0.617144500546985
-1,D2,0.638470674196879
-1,E2,0.638377962509791
-1,F2,0.631860448644052
-1,G2,0.618670732590460
-1,H2,0.769884924574565
-1,I2,0.743759336010102
-1,J2,0.707792993822405
-1,K2,0.733073760524433
-1,L1,0.702259877003914
-1,A1,0.500581241415247
-1,B1,0.616368437021092
-1,C1,0.624292055186298
-1,D1,0.636374383846919
-1,E1,0.619375728567441
-1,F1,0.630271287840240
-1,G1,0.621116162679060
-1,H1,0.715078559021155
-1,I1,0.696542138099670
-1,J1,0.635885081936916
-1,K1,0.697993340838642
-1,L3,0.641352658124540
-1,A3,0.486955985426903
-1,B3,0.545497849136785
-1,C3,0.554909128339050
-1,D3,0.557399718492262
-1,E3,0.553685073410311
-1,F3,0.544708941985440
-1,G3,0.574734256426493
-1,H3,0.698417863580916
-1,I3,0.676271126998795
-1,J3,0.648726259390513
-1,K3,0.662797329988745
