OID,Cell_Third,MEAN
-1,L2,0.532005541415578
-1,A2,0.393464574652663
-1,B2,0.412599480376324
-1,C2,0.445692693359322
-1,D2,0.379704701026281
-1,E2,0.386808333132002
-1,F2,0.390490431177850
-1,G2,0.413799484775912
-1,H2,0.465528254467313
-1,I2,0.406888293803379
-1,J2,0.458598352555306
-1,K2,0.438623952240320
-1,L1,0.538436770931748
-1,A1,0.453861688547160
-1,B1,0.449530043127390
-1,C1,0.491670173323817
-1,D1,0.431844839493434
-1,E1,0.434351160128911
-1,F1,0.420860173426518
-1,G1,0.454147876278172
-1,H1,0.486454529563586
-1,I1,0.459881753325462
-1,J1,0.479690463716785
-1,K1,0.495482254402800
-1,L3,0.536033417251201
-1,A3,0.453404326714119
-1,B3,0.444761629754282
-1,C3,0.449400898227666
-1,D3,0.413745060120859
-1,E3,0.428525516262618
-1,F3,0.429938145504882
-1,G3,0.439689867178599
-1,H3,0.452876359058751
-1,I3,0.463215630253156
-1,J3,0.503600349346797
-1,K3,0.466845919936895
