OID,Cell_Third,MEAN
-1,L2,0.510979845262116
-1,A2,0.363952109652510
-1,B2,0.389093187996386
-1,C2,0.377263405174017
-1,D2,0.433075959523519
-1,E2,0.451391092108356
-1,F2,0.498053277473824
-1,G2,0.523169318629849
-1,H2,0.486470310518178
-1,I2,0.474235307865886
-1,J2,0.466373471329289
-1,K2,0.456145731280545
-1,L1,0.536455679038339
-1,A1,0.383389284874758
-1,B1,0.426882668610552
-1,C1,0.436176990966002
-1,D1,0.433450502951940
-1,E1,0.459092066354222
-1,F1,0.479416223042676
-1,G1,0.503653733226342
-1,H1,0.463043089459340
-1,I1,0.468861324310303
-1,J1,0.475800292193890
-1,K1,0.502577131643345
-1,L3,0.469334009912418
-1,A3,0.377344484688068
-1,B3,0.400812072074709
-1,C3,0.395349191779152
-1,D3,0.489507639831112
-1,E3,0.495528977885041
-1,F3,0.482471897112613
-1,G3,0.484399958133698
-1,H3,0.491023196776708
-1,I3,0.490890423456828
-1,J3,0.463255274852117
-1,K3,0.445691959891054
