OID,Cell_Third,MEAN
-1,L2,0.716775861849268
-1,A2,0.496325141734068
-1,B2,0.572668825605964
-1,C2,0.562688983148999
-1,D2,0.554885005791982
-1,E2,0.544105100962851
-1,F2,0.615645999924030
-1,G2,0.668556987624015
-1,H2,0.685432139583813
-1,I2,0.690099254731209
-1,J2,0.702062572202375
-1,K2,0.663917767010852
-1,L1,0.676731187942599
-1,A1,0.498521911790190
-1,B1,0.574990384899899
-1,C1,0.550342721905973
-1,D1,0.548190418958664
-1,E1,0.535990078084999
-1,F1,0.597071842758023
-1,G1,0.639616336037473
-1,H1,0.660979932546616
-1,I1,0.665477575778961
-1,J1,0.665374709417423
-1,K1,0.650665979968940
-1,L3,0.653396125222004
-1,A3,0.511285480491969
-1,B3,0.561745301996403
-1,C3,0.542078033208530
-1,D3,0.514043411554829
-1,E3,0.469157096359038
-1,F3,0.506836480731206
-1,G3,0.595576410929362
-1,H3,0.633678779006004
-1,I3,0.635240149497986
-1,J3,0.670512264569600
-1,K3,0.633170303371217
