OID,Cell_Third,MEAN
-1,L2,0.644710223438590
-1,A2,0.489067705959042
-1,B2,0.520634837033065
-1,C2,0.519747942851649
-1,D2,0.528004341602325
-1,E2,0.540255069732666
-1,F2,0.553212555950763
-1,G2,0.602154181465026
-1,H2,0.677234492154532
-1,I2,0.637215508248216
-1,J2,0.662867772733012
-1,K2,0.617689752611218
-1,L1,0.597649709005986
-1,A1,0.440390383581752
-1,B1,0.501899023397998
-1,C1,0.510237286488215
-1,D1,0.517497066020966
-1,E1,0.514296863476435
-1,F1,0.527984352987640
-1,G1,0.579937966616173
-1,H1,0.633290108541648
-1,I1,0.594798785805702
-1,J1,0.606577945252260
-1,K1,0.576791194526001
-1,L3,0.642763680525114
-1,A3,0.434285167110514
-1,B3,0.462831096512398
-1,C3,0.463555122071758
-1,D3,0.477426240367274
-1,E3,0.497318287690481
-1,F3,0.493904754341833
-1,G3,0.551805502414703
-1,H3,0.636197718646791
-1,I3,0.603408401873377
-1,J3,0.634039645195007
-1,K3,0.580683460997211
