OID,Cell_Third,MEAN
-1,L2,0.476569644977130
-1,A2,0.377948472099291
-1,B2,0.369216227268585
-1,C2,0.399156810094913
-1,D2,0.333384821732839
-1,E2,0.324207966360781
-1,F2,0.339599413069245
-1,G2,0.359432329708530
-1,H2,0.399009900227670
-1,I2,0.394964615904516
-1,J2,0.431742636772894
-1,K2,0.427120590973290
-1,L1,0.460271288294438
-1,A1,0.450610879484726
-1,B1,0.432695945929586
-1,C1,0.454128429459201
-1,D1,0.385887378772100
-1,E1,0.404094433784485
-1,F1,0.393853084530149
-1,G1,0.411190993781012
-1,H1,0.421443729350964
-1,I1,0.419487228155136
-1,J1,0.422604617600640
-1,K1,0.436007803608298
-1,L3,0.476184707276925
-1,A3,0.396918215731881
-1,B3,0.387264791531233
-1,C3,0.371199199295741
-1,D3,0.335755433267163
-1,E3,0.332506215059629
-1,F3,0.345076905891595
-1,G3,0.391204648574193
-1,H3,0.437495522532198
-1,I3,0.448965573973126
-1,J3,0.468585413932800
-1,K3,0.418095321953297
