OID,Cell_Third,MEAN
-1,L2,0.566886094280355
-1,A2,0.452935567382509
-1,B2,0.493786574144462
-1,C2,0.504809350851509
-1,D2,0.518443767786026
-1,E2,0.492951253056526
-1,F2,0.504436032912310
-1,G2,0.549668582485568
-1,H2,0.559008324338544
-1,I2,0.540261418268245
-1,J2,0.560239044466326
-1,K2,0.529645835914794
-1,L1,0.532385840149950
-1,A1,0.408781246606099
-1,B1,0.468978137337171
-1,C1,0.495984766218397
-1,D1,0.499118986288706
-1,E1,0.498954378896289
-1,F1,0.512881524465522
-1,G1,0.554162772811525
-1,H1,0.552462906638781
-1,I1,0.538746247887611
-1,J1,0.536314202969273
-1,K1,0.530614409303166
-1,L3,0.537367351891647
-1,A3,0.388159596893404
-1,B3,0.453548386790140
-1,C3,0.450872297458192
-1,D3,0.433482705393145
-1,E3,0.464739814961469
-1,F3,0.454657132420319
-1,G3,0.464260925054550
-1,H3,0.536712770660718
-1,I3,0.480640140672525
-1,J3,0.517104028383891
-1,K3,0.479904672255119
