OID,Cell_Third,MEAN
-1,L2,0.543150459267847
-1,A2,0.522552342858500
-1,B2,0.594773186010764
-1,C2,0.610993708670139
-1,D2,0.616422255039215
-1,E2,0.609840695725547
-1,F2,0.543724549206254
-1,G2,0.577126522833301
-1,H2,0.599669575210541
-1,I2,0.612030587689851
-1,J2,0.604570063237221
-1,K2,0.596311890380584
-1,L1,0.494564996524291
-1,A1,0.463595326868412
-1,B1,0.526589335129664
-1,C1,0.539738188518418
-1,D1,0.551206280787786
-1,E1,0.538986088335514
-1,F1,0.517619721500241
-1,G1,0.518534525986609
-1,H1,0.543589139233033
-1,I1,0.560766219615936
-1,J1,0.576840674504638
-1,K1,0.548209172697904
-1,L3,0.502202119369858
-1,A3,0.434289435818031
-1,B3,0.491544446158751
-1,C3,0.505084290188995
-1,D3,0.544043201285024
-1,E3,0.543376287385341
-1,F3,0.519872638563447
-1,G3,0.535406324386597
-1,H3,0.549465186397235
-1,I3,0.557004202736749
-1,J3,0.548069331169128
-1,K3,0.540869004196591
