OID,Cell_Third,MEAN
-1,L2,0.585382044474922
-1,A2,0.481994971932178
-1,B2,0.479276802134730
-1,C2,0.500612436400519
-1,D2,0.453252504984538
-1,E2,0.453430175615682
-1,F2,0.445558320307264
-1,G2,0.477020507089553
-1,H2,0.559899713723890
-1,I2,0.541508313789163
-1,J2,0.571461565802174
-1,K2,0.552223955253164
-1,L1,0.576645090560283
-1,A1,0.550597637243893
-1,B1,0.513659113373897
-1,C1,0.527076815813780
-1,D1,0.488575283050537
-1,E1,0.500504980650213
-1,F1,0.488890997893145
-1,G1,0.516245789644195
-1,H1,0.570173643529415
-1,I1,0.564361081123352
-1,J1,0.571455729504426
-1,K1,0.576029689680219
-1,L3,0.573240695112482
-1,A3,0.487839803023606
-1,B3,0.477185112595403
-1,C3,0.453325667438355
-1,D3,0.438789376328068
-1,E3,0.429211296461603
-1,F3,0.437412834364847
-1,G3,0.452662888685862
-1,H3,0.545345558557245
-1,I3,0.551708859205246
-1,J3,0.571723623593648
-1,K3,0.534133707483610
