OID,Cell_Third,MEAN
-1,L2,3.635417954126994
-1,A2,2.670986482610253
-1,B2,2.959295992056529
-1,C2,3.041226053237915
-1,D2,3.161961423026191
-1,E2,2.947351055675083
-1,F2,3.039540265156673
-1,G2,3.465005169974433
-1,H2,3.548112592432234
-1,I2,3.351442162195842
-1,J2,3.553721204170814
-1,K2,3.248104616006215
-1,L1,3.307870403925578
-1,A1,2.387138337061550
-1,B1,2.786423159169627
-1,C1,2.983247002577170
-1,D1,3.005705567200978
-1,E1,3.008465030458238
-1,F1,3.139885332645514
-1,G1,3.550386989116669
-1,H1,3.522876702414619
-1,I1,3.394903479682075
-1,J1,3.367708730697632
-1,K1,3.315238197644552
-1,L3,3.374338630835215
-1,A3,2.342820054292679
-1,B3,2.712477989991506
-1,C3,2.692508887021969
-1,D3,2.579359159204695
-1,E3,2.798119481404622
-1,F3,2.716470464070638
-1,G3,2.796842277050018
-1,H3,3.360938800705804
-1,I3,2.892133129967584
-1,J3,3.182939063119625
-1,K3,2.881673756333971
