OID,Cell_Third,MEAN
-1,L2,4.657424851258596
-1,A2,2.941708146589589
-1,B2,3.178122079372406
-1,C2,3.166201300498767
-1,D2,3.242227325174543
-1,E2,3.352831310696072
-1,F2,3.480642642730321
-1,G2,4.088622628317939
-1,H2,5.200585672590468
-1,I2,4.519935141669380
-1,J2,4.941140091724884
-1,K2,4.218725192546844
-1,L1,4.030727656682332
-1,A1,2.604152489762280
-1,B1,3.037201759579418
-1,C1,3.100861307290884
-1,D1,3.175142966376411
-1,E1,3.133435499668122
-1,F1,3.267923296414889
-1,G1,3.866295251581404
-1,H1,4.625073275301191
-1,I1,4.073187065124512
-1,J1,4.211878353510148
-1,K1,3.793986721833547
-1,L3,4.678912647565206
-1,A3,2.629303491115570
-1,B3,2.771081825097402
-1,C3,2.763163004166041
-1,D3,2.897790274355147
-1,E3,3.055410748057895
-1,F3,2.997352424034705
-1,G3,3.548697622617086
-1,H3,4.574414422776964
-1,I3,4.116817277007633
-1,J3,4.570732265546177
-1,K3,3.855417116401122
