OID,Cell_Third,MEAN
-1,L2,5.924147346731489
-1,A2,3.931658488200850
-1,B2,4.423599750306047
-1,C2,4.363473068343269
-1,D2,4.397159440358480
-1,E2,4.513904767566257
-1,F2,4.659333670373057
-1,G2,5.242015462075511
-1,H2,6.565775448276151
-1,I2,6.237215922724817
-1,J2,6.714781048067154
-1,K2,5.872371993857444
-1,L1,5.543638706207275
-1,A1,3.691831127456997
-1,B1,4.349704112827618
-1,C1,4.392601050933203
-1,D1,4.368914162317912
-1,E1,4.384546824296316
-1,F1,4.365798429242608
-1,G1,4.889323319846053
-1,H1,5.800949166218440
-1,I1,5.385502095222473
-1,J1,5.779834528764089
-1,K1,5.581408060970107
-1,L3,5.583426113980829
-1,A3,3.198313593864441
-1,B3,3.583239501271752
-1,C3,3.539690774806002
-1,D3,3.410447356316351
-1,E3,3.503616889958741
-1,F3,3.763646879575111
-1,G3,4.313080863952637
-1,H3,5.710302164819505
-1,I3,5.407820389005873
-1,J3,5.731896457672119
-1,K3,4.903204688760970
