OID,Cell_Third,MEAN
-1,L2,2.871269754568736
-1,A2,2.223329038520134
-1,B2,2.162105906009674
-1,C2,2.328098989144350
-1,D2,2.000719651910994
-1,E2,1.962162266174952
-1,F2,2.030299540055104
-1,G2,2.126525274250243
-1,H2,2.329695212841034
-1,I2,2.313341065247854
-1,J2,2.526979029484284
-1,K2,2.490652120113373
-1,L1,2.724912055333455
-1,A1,2.679292277077943
-1,B1,2.523326893429180
-1,C1,2.669246981694148
-1,D1,2.278634753492144
-1,E1,2.390763483444850
-1,F1,2.322886690115317
-1,G1,2.394326437844171
-1,H1,2.465231225225661
-1,I1,2.449620535638597
-1,J1,2.462995993785369
-1,K1,2.547825014591217
-1,L3,2.854093186060588
-1,A3,2.312982877095541
-1,B3,2.267144354184468
-1,C3,2.174979581588354
-1,D3,2.009070384502411
-1,E3,1.996485645903481
-1,F3,2.062126820515364
-1,G3,2.313293449083964
-1,H3,2.580052247312334
-1,I3,2.660545608732436
-1,J3,2.787564165684400
-1,K3,2.459419243114511
