OID,Cell_Third,MEAN
-1,L2,3.873078163464864
-1,A2,2.870111285703969
-1,B2,2.837282538414001
-1,C2,3.002124937986716
-1,D2,2.657381309403314
-1,E2,2.668328270647261
-1,F2,2.610471748694395
-1,G2,2.852427625656128
-1,H2,3.548882354630364
-1,I2,3.364241789446937
-1,J2,3.670219027690398
-1,K2,3.457688422997792
-1,L1,3.735665349165599
-1,A1,3.517854680013920
-1,B1,3.122574545524933
-1,C1,3.227816646527021
-1,D1,2.935650081104702
-1,E1,3.030754880110423
-1,F1,2.934308536236103
-1,G1,3.165678241517809
-1,H1,3.663407476743062
-1,I1,3.599318899048699
-1,J1,3.665689522180802
-1,K1,3.723314507802328
-1,L3,3.715417993068695
-1,A3,2.898350962003072
-1,B3,2.826186438401540
-1,C3,2.662793017656375
-1,D3,2.561361883746253
-1,E3,2.503586326705085
-1,F3,2.557268487490140
-1,G3,2.661479899618361
-1,H3,3.417820225821601
-1,I3,3.466903607050578
-1,J3,3.675684756336950
-1,K3,3.318696384577407
