OID,Cell_Third,MEAN
-1,L2,3.424082390467326
-1,A2,2.428809956106216
-1,B2,2.814830076694489
-1,C2,2.767320251464844
-1,D2,2.876224108537038
-1,E2,2.888288426399231
-1,F2,3.170217654643915
-1,G2,4.044272587034437
-1,H2,4.575076683362325
-1,I2,4.153128858407339
-1,J2,3.585371341460790
-1,K2,3.640226658185323
-1,L1,3.435368724664052
-1,A1,2.239731712894545
-1,B1,2.721720183288658
-1,C1,2.750563833652398
-1,D1,2.786924398607678
-1,E1,2.692583645052380
-1,F1,2.750637509883978
-1,G1,3.280498085419337
-1,H1,4.078795235686832
-1,I1,3.506119612852733
-1,J1,3.241310918636811
-1,K1,3.591126596927643
-1,L3,2.841556266943614
-1,A3,2.247660716374715
-1,B3,2.571823648611705
-1,C3,2.458555172651242
-1,D3,2.628373071882460
-1,E3,2.635245990753174
-1,F3,2.947241945755787
-1,G3,3.248456954956055
-1,H3,4.081668786207834
-1,I3,3.706006907092200
-1,J3,3.122044467135688
-1,K3,2.972808501155106
