OID,Cell_Third,MEAN
-1,L2,6.363197008768718
-1,A2,3.645604729028272
-1,B2,3.759604752063751
-1,C2,3.673427770076654
-1,D2,3.275502398278978
-1,E2,3.262304517957899
-1,F2,3.193583521476159
-1,G2,4.442590706878239
-1,H2,4.922939806514316
-1,I2,4.751460225052304
-1,J2,6.247835677709335
-1,K2,5.026852750778199
-1,L1,5.542444070180257
-1,A1,3.123884150995075
-1,B1,3.492292972711416
-1,C1,3.501039249469073
-1,D1,3.435970089170668
-1,E1,3.226207351684570
-1,F1,3.765460718595065
-1,G1,4.721249082353380
-1,H1,5.105535384019216
-1,I1,4.772223760022057
-1,J1,5.332240157249647
-1,K1,4.779278314113617
-1,L3,5.632464845975240
-1,A3,3.220834179719289
-1,B3,3.186701734860738
-1,C3,3.582143038969773
-1,D3,3.043724286556244
-1,E3,2.977682052718269
-1,F3,2.853541144346579
-1,G3,3.751999860339695
-1,H3,4.883546079529657
-1,I3,4.731101600329081
-1,J3,5.666682625343786
-1,K3,4.058125069460918
