OID,Cell_Third,MEAN
-1,L2,3.349856658776601
-1,A2,2.299416760499565
-1,B2,2.405101927121480
-1,C2,2.600846650050237
-1,D2,2.221991742981805
-1,E2,2.266633926497565
-1,F2,2.286492158205081
-1,G2,2.432491068045298
-1,H2,2.742823518647088
-1,I2,2.378806387053596
-1,J2,2.699045213063558
-1,K2,2.559552423159281
-1,L1,3.353601729869843
-1,A1,2.713718495974883
-1,B1,2.625060766607850
-1,C1,2.927104469446036
-1,D1,2.529002642631531
-1,E1,2.559021296766069
-1,F1,2.474056795315865
-1,G1,2.674626531865862
-1,H1,2.888762414455414
-1,I1,2.699967282348209
-1,J1,2.838796846683209
-1,K1,2.959057148297628
-1,L3,3.360932918389638
-1,A3,2.666336421171824
-1,B3,2.620895751317342
-1,C3,2.632596710400704
-1,D3,2.423817802137799
-1,E3,2.512000763416290
-1,F3,2.535347043550932
-1,G3,2.579741501808166
-1,H3,2.658017335997688
-1,I3,2.744327439202203
-1,J3,3.057931498269350
-1,K3,2.800503531682123
