OID,Cell_Third,MEAN
-1,L2,0.762930373669947
-1,A2,0.596557018707395
-1,B2,0.674785192993055
-1,C2,0.675039291216267
-1,D2,0.688486071268717
-1,E2,0.686910147468249
-1,F2,0.687568271004297
-1,G2,0.683405704421382
-1,H2,0.788477798623423
-1,I2,0.772670815228134
-1,J2,0.741893909746601
-1,K2,0.766037071758135
-1,L1,0.740660797465931
-1,A1,0.569991297452994
-1,B1,0.672075176766347
-1,C1,0.673710680007935
-1,D1,0.686255571524302
-1,E1,0.673032163580259
-1,F1,0.688894130178049
-1,G1,0.676731157109020
-1,H1,0.750052464008331
-1,I1,0.730423718929291
-1,J1,0.687108519921700
-1,K1,0.730609141641262
-1,L3,0.703379590940538
-1,A3,0.548728234951898
-1,B3,0.610961233077491
-1,C3,0.622579562774998
-1,D3,0.618447198713979
-1,E3,0.616898968495348
-1,F3,0.611044860517742
-1,G3,0.641219175815582
-1,H3,0.737002122071054
-1,I3,0.719757663541370
-1,J3,0.696221911748250
-1,K3,0.713087911407153
