OID,Cell_Third,MEAN
-1,L2,0.646925713004198
-1,A2,0.510145856354291
-1,B2,0.540987553145017
-1,C2,0.533818290962113
-1,D2,0.547579266707102
-1,E2,0.556462432940801
-1,F2,0.569177953791774
-1,G2,0.605695444768475
-1,H2,0.670106714931867
-1,I2,0.633746155327366
-1,J2,0.653101998990582
-1,K2,0.614875741566884
-1,L1,0.605453987752110
-1,A1,0.471639337908963
-1,B1,0.523260440807240
-1,C1,0.532113216651811
-1,D1,0.540260691324870
-1,E1,0.540152619944678
-1,F1,0.544538427615652
-1,G1,0.584629622659063
-1,H1,0.634484371046225
-1,I1,0.606459534645081
-1,J1,0.603050724168618
-1,K1,0.584479692406679
-1,L3,0.648325739097971
-1,A3,0.464674139927541
-1,B3,0.492810521473941
-1,C3,0.502533992792064
-1,D3,0.509092548816435
-1,E3,0.528498693419400
-1,F3,0.524535748540171
-1,G3,0.572340165456136
-1,H3,0.641746188534631
-1,I3,0.609590762191349
-1,J3,0.642073715209961
-1,K3,0.596620215475559
