OID,Cell_Third,MEAN
-1,L2,0.597796718598689
-1,A2,0.517870856336800
-1,B2,0.510254837273005
-1,C2,0.529962549855312
-1,D2,0.489423442443212
-1,E2,0.486022430161635
-1,F2,0.482564666652991
-1,G2,0.503780745883142
-1,H2,0.567096695624372
-1,I2,0.556340356667837
-1,J2,0.585265988842134
-1,K2,0.572405370931859
-1,L1,0.586817415292598
-1,A1,0.567454155048598
-1,B1,0.538310085320920
-1,C1,0.550268855028682
-1,D1,0.514805508136749
-1,E1,0.528855247298876
-1,F1,0.514878272483138
-1,G1,0.532122552031424
-1,H1,0.568256144225597
-1,I1,0.577551197052002
-1,J1,0.581179320812225
-1,K1,0.588567256147325
-1,L3,0.587972039227103
-1,A3,0.518890330225838
-1,B3,0.511154736968964
-1,C3,0.491784794295722
-1,D3,0.479782025737147
-1,E3,0.472192342082659
-1,F3,0.481968185759538
-1,G3,0.486028171777725
-1,H3,0.562017508016692
-1,I3,0.559659241967731
-1,J3,0.577673247655233
-1,K3,0.560495766666200
