OID,Cell_Third,MEAN
-1,L2,0.499046193787372
-1,A2,0.378899798854447
-1,B2,0.387968483138177
-1,C2,0.376701481226418
-1,D2,0.443316648801168
-1,E2,0.456373795039124
-1,F2,0.495029462240880
-1,G2,0.517522199999902
-1,H2,0.484861803231060
-1,I2,0.474866269576934
-1,J2,0.481317832008485
-1,K2,0.462278774713625
-1,L1,0.529163340891688
-1,A1,0.399258403269493
-1,B1,0.449021749817654
-1,C1,0.441576176964574
-1,D1,0.437563491503398
-1,E1,0.454560486972332
-1,F1,0.468190459978013
-1,G1,0.495804695215652
-1,H1,0.448959732055664
-1,I1,0.444542729020119
-1,J1,0.476261111721396
-1,K1,0.504448544838666
-1,L3,0.477029069337832
-1,A3,0.385920790005095
-1,B3,0.399391070804820
-1,C3,0.410345059165612
-1,D3,0.476022474573505
-1,E3,0.480167548742987
-1,F3,0.464054305663961
-1,G3,0.481145737727483
-1,H3,0.488807633353604
-1,I3,0.486910984913508
-1,J3,0.463786532481511
-1,K3,0.449042974909147
