OID,Cell_Third,MEAN
-1,L2,0.718494315622960
-1,A2,0.573494229610346
-1,B2,0.589426273888342
-1,C2,0.590350840985775
-1,D2,0.560877808570862
-1,E2,0.561593347125583
-1,F2,0.536526321897320
-1,G2,0.605709096539405
-1,H2,0.660219258839084
-1,I2,0.641460130291600
-1,J2,0.705149498908750
-1,K2,0.654559995806510
-1,L1,0.672738351605155
-1,A1,0.513933880902503
-1,B1,0.569279818328712
-1,C1,0.547245736254586
-1,D1,0.544320860465368
-1,E1,0.527874354024728
-1,F1,0.562498581166170
-1,G1,0.603322507162404
-1,H1,0.670299061139425
-1,I1,0.638626612067223
-1,J1,0.647500830267866
-1,K1,0.620670358704023
-1,L3,0.693222676485816
-1,A3,0.528115911637338
-1,B3,0.539476741634727
-1,C3,0.568552271245008
-1,D3,0.519772168897813
-1,E3,0.537060659258596
-1,F3,0.508096729840664
-1,G3,0.580502308686574
-1,H3,0.659836281670464
-1,I3,0.632142751746708
-1,J3,0.678670534451803
-1,K3,0.602626252339946
