OID,Cell_Third,MEAN
-1,L2,0.711979230883291
-1,A2,0.536899037908518
-1,B2,0.613121161896895
-1,C2,0.608080176015695
-1,D2,0.604270980993907
-1,E2,0.583751211894883
-1,F2,0.638176864736220
-1,G2,0.678559654758823
-1,H2,0.691451864857828
-1,I2,0.700408272685543
-1,J2,0.708541626007326
-1,K2,0.674465536908817
-1,L1,0.677168011665344
-1,A1,0.532561775296926
-1,B1,0.607269353105939
-1,C1,0.595589647442102
-1,D1,0.592070156335831
-1,E1,0.575882385008865
-1,F1,0.625885429349886
-1,G1,0.653527010262497
-1,H1,0.666923326253891
-1,I1,0.679201932430267
-1,J1,0.673176921655734
-1,K1,0.661158597984239
-1,L3,0.662997268424241
-1,A3,0.544673857678260
-1,B3,0.593967673598244
-1,C3,0.594456323045999
-1,D3,0.563161970415423
-1,E3,0.525218047762430
-1,F3,0.551495785823721
-1,G3,0.626094417572021
-1,H3,0.649435860580868
-1,I3,0.658613609274228
-1,J3,0.680785471280416
-1,K3,0.650675213336945
