OID,Cell_Third,MEAN
-1,L2,0.561967881648256
-1,A2,0.544773061032914
-1,B2,0.610809694777512
-1,C2,0.616946220563518
-1,D2,0.625561938603719
-1,E2,0.607392250498136
-1,F2,0.563437558778750
-1,G2,0.583054994921530
-1,H2,0.599988093619706
-1,I2,0.612569416883171
-1,J2,0.610048279608450
-1,K2,0.597002218139919
-1,L1,0.525263108744109
-1,A1,0.494945071840092
-1,B1,0.542136264310765
-1,C1,0.557572316295571
-1,D1,0.565498038212458
-1,E1,0.557509036196603
-1,F1,0.541609346461134
-1,G1,0.538350252237746
-1,H1,0.556546081354221
-1,I1,0.573118167400360
-1,J1,0.583127599954605
-1,K1,0.558010010819160
-1,L3,0.534694500923470
-1,A3,0.471238750356193
-1,B3,0.524517072614822
-1,C3,0.536423078242769
-1,D3,0.564657012339561
-1,E3,0.563723344155537
-1,F3,0.536857826899219
-1,G3,0.552827767690023
-1,H3,0.570608710580402
-1,I3,0.578741104072995
-1,J3,0.571132405440013
-1,K3,0.558204118410746
