OID,Cell_Third,MEAN
-1,L2,0.573203277875142
-1,A2,0.477629277760405
-1,B2,0.511834292869469
-1,C2,0.534495741625627
-1,D2,0.521814452648163
-1,E2,0.509397648440467
-1,F2,0.520848567345563
-1,G2,0.555660549902147
-1,H2,0.554515341917674
-1,I2,0.533294137126656
-1,J2,0.538780817062624
-1,K2,0.531984584695312
-1,L1,0.528210009425140
-1,A1,0.450886928800331
-1,B1,0.494786472686494
-1,C1,0.518739734590054
-1,D1,0.514836455027262
-1,E1,0.513426549898254
-1,F1,0.531466293578245
-1,G1,0.548681514655671
-1,H1,0.541448275993268
-1,I1,0.548950394153595
-1,J1,0.542159071316322
-1,K1,0.525371511101099
-1,L3,0.552930040600735
-1,A3,0.407483738733037
-1,B3,0.474594065853949
-1,C3,0.480752099345022
-1,D3,0.465062333806869
-1,E3,0.502872305050973
-1,F3,0.479245433112643
-1,G3,0.484374200423559
-1,H3,0.535681048697895
-1,I3,0.493793723152743
-1,J3,0.530007795492808
-1,K3,0.506250963608424
