OID,Cell_Third,MEAN
-1,L2,0.684860783887197
-1,A2,0.556831362137354
-1,B2,0.627010954957064
-1,C2,0.617885648210843
-1,D2,0.635830023924510
-1,E2,0.636565159426795
-1,F2,0.658516508379793
-1,G2,0.662000974455187
-1,H2,0.655412271618843
-1,I2,0.678690797699395
-1,J2,0.674955872951015
-1,K2,0.690105426457662
-1,L1,0.640488147242995
-1,A1,0.566379345305588
-1,B1,0.615668717482135
-1,C1,0.639775724957387
-1,D1,0.610481100002925
-1,E1,0.634113291237089
-1,F1,0.625516635301162
-1,G1,0.625046710415584
-1,H1,0.634799102693796
-1,I1,0.652534979581833
-1,J1,0.657314229508241
-1,K1,0.665501745973582
-1,L3,0.638275972725371
-1,A3,0.562772207494293
-1,B3,0.607662787260257
-1,C3,0.611557581243997
-1,D3,0.599503058156659
-1,E3,0.589917411887518
-1,F3,0.614698174694516
-1,G3,0.636442906061808
-1,H3,0.638614135980606
-1,I3,0.667822319269180
-1,J3,0.654064126809438
-1,K3,0.645141203039222
